Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Snowflake provides a mechanism for its customers to override its natural clustering algorithms. This method is:,multiple-choice,A. Micro-partitions,B. Clustering keys,C. Key partitions,D. Clustered partitions,,,,,,,,,,,,2,"A company's security audit requires generating a report listing all Snowflake logins (e.g.. date and user) within the last 90 days.
https://community.snowflake.com/s/article/Snowflake-What-the-Cluster",
Which of the following are valid Snowflake Virtual Warehouse Scaling Policies? (Choose two.),multi-select,A. Custom,B. Economy,C. Optimized,D. Standard,,,,,,,,,,,,"2, 4","Answer is B/D.    objectProperties ::=  WAREHOUSE_SIZE = XSMALL | SMALL | MEDIUM | LARGE | XLARGE | XXLARGE | XXXLARGE | X4LARGE | X5LARGE | X6LARGE  MAX_CLUSTER_COUNT = <num>  MIN_CLUSTER_COUNT = <num>  SCALING_POLICY = STANDARD | ECONOMY  AUTO_SUSPEND = <num> | NULL  AUTO_RESUME = TRUE | FALSE  INITIALLY_SUSPENDED = TRUE | FALSE  RESOURCE_MONITOR = <monitor_name>  COMMENT = '<string_literal>'
https://community.snowflake.com/s/article/Snowflake-Visualizing-Warehouse-Performance",
True or False: A single database can exist in more than one Snowflake account.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,1,"The question is where the single database (instance) can exist across multiple accounts. Replication creates a separate instance and keeps it in sync with primary DB, but the DB instance can only belong to one account. Its a tricky question
Through database replication, should be A https://docs.snowflake.com/en/user-guide/database-replication-intro.html",
Which of the following roles is recommended to be used to create and manage users and roles?,multiple-choice,A. SYSADMIN,B. SECURITYADMIN,C. PUBLIC,D. ACCOUNTADMIN,,,,,,,,,,,,2,"Here the answer should be SECURITYADMIN as it is parent of USERADMIN (which is the correct answer)  More details: https://docs.snowflake.com/en/user-guide/security-access-control-considerations  Attention  By default, when your account is provisioned, the first user is assigned the ACCOUNTADMIN role. This user should then create one or more additional users who are assigned the USERADMIN role. All remaining users should be created by the user(s) with the USERADMIN role or another role that is granted the global CREATE USER privilege.",
True or False: Bulk unloading of data from Snowflake supports the use of a SELECT statement.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"B UNLOAD INTO @stage_name/files FROM my_table FILE_FORMAT = (TYPE = 'CSV');
",
Select the different types of Internal Stages: (Choose three.),multi-select,A. Named Stage,B. User Stage,C. Table Stage,D. Schema Stage,,,,,,,,,,,,"1, 2, 3","ABC is the correct answer
ABC https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage.html",
True or False: A customer using SnowSQL / native connectors will be unable to also use the Snowflake Web Interface (UI) unless access to the UI is explicitly granted by support.,multiple-choice,A. True,B. False,,,,,,,,,,,,,,2,"WebUI and SnowSQL are available for all users. Answer is FALSE
https://docs.snowflake.com/en/user-guide/connecting.html",
Account-level storage usage can be monitored via:,multiple-choice,A. The Snowflake Web Interface (UI) in the Databases section,B. The Snowflake Web Interface (UI) in the Account -> Billing & Usage section,C. The Information Schema -> ACCOUNT_USAGE_HISTORY View,D. The Account Usage Schema -> ACCOUNT_USAGE_METRICS View,,,,,,,,,,,,2,"B is correct. for D it should be TABLE_STORAGE_METRICS not ACCOUNT_USAGE_METRICS. there is no view with account_usage_metrics name. if D has said view name is TABLE_STORAGE_METRICS then its correct
https://docs.snowflake.com/en/user-guide/admin-usage-billing.html",
Credit Consumption by the Compute Layer (Virtual Warehouses) is based on: (Choose two.),multi-select,A. Number of users,B. Warehouse size,C. Amount of data processed,D. # of clusters for the Warehouse,,,,,,,,,,,,"2, 3","B. Warehouse size: The size of the virtual warehouse is one of the primary factors that determine the credit consumption. Larger warehouses have more compute resources available, which allows them to process data faster and more efficiently, but also results in higher credit consumption.  C. Amount of data processed: The amount of data processed by the virtual warehouse is another key factor that determines credit consumption. Snowflake charges credits based on the amount of data processed, regardless of the number of users or the number of clusters used by the virtual warehouse.  A. Number of users and D. # of clusters for the warehouse are not direct factors in credit consumption by the compute layer. However, the number of users and the number of clusters used can indirectly affect credit consumption by impacting the amount of data processed and the warehouse size required to process that data efficiently.  Therefore, the credit consumption by the compute layer in Snowflake is primarily based on warehouse size and the amount of data processed.
B & C, Snowflake credits are charged based on the number of virtual warehouses you use, how long they run, and their size. https://docs.snowflake.com/en/user-guide/cost-understanding-compute",
Which statement best describes `clustering`?,multiple-choice,A. Clustering represents the way data is grouped together and stored within Snowflake's micro-partitions,B. The database administrator must define the clustering methodology for each Snowflake table,C. The clustering key must be included on the COPY command when loading data into Snowflake,D. Clustering can be disabled within a Snowflake account,,,,,,,,,,,,1,"Strongly agree, A is the correct the correct answer.
https://docs.snowflake.com/en/user-guide/tables-clustering-micropartitions.html  In Snowflake, as data is inserted/loaded into a table, clustering metadata is collected and recorded for each micro-partition created during the process. Snowflake then leverages this clustering information to avoid unnecessary scanning of micro-partitions during querying, significantly accelerating the performance of queries that reference these columns.",
